Timestamp,Age,Gender,Occupation,work_mode,Screen_Time,Sleep_Hours,Exercise_frequency,Break_Frequency,Work_Study_Hours,Commute_Time,Mental_Exhaustion,Work_Life_Imbalance,Emotional_Drain,Wakeup_Tired,Deadline_Stress,Routine_Satisfaction,Overall_Stress,Social_Time,Continue_When_Tired
14/04/2026 18:28:10,19,Female,student,mostly offline,6-8 hrs,5-6 hrs,1-2 days,often,7–9 hours,less than 30 mins,4,4,3,3,4,2,4,3-4 times/week,sometimes
14/04/2026 18:28:11,19,Female,student,not applicable,6-8 hrs,less than 5 hrs,1-2 days,often,4–6 hours,less than 30 mins,3,3,5,3,2,3,4,rarely,"yes, almost always"
14/04/2026 18:33:46,20,Male,student,hybrid,6-8 hrs,5-6 hrs,1-2 days,often,Less than 4 hours,30-60 mins,2,3,2,2,1,4,2,1-2 times/week,sometimes
14/04/2026 18:34:23,20,Male,student,hybrid,more than 11 hrs,5-6 hrs,0,very often,Less than 4 hours,30-60 mins,5,5,5,5,5,5,5,5+ times,rarely
14/04/2026 18:35:30,20,Female,student,hybrid,6-8 hrs,less than 5 hrs,0,sometimes,4–6 hours,less than 30 mins,3,3,2,2,2,3,4,5+ times,"yes, almost always"
14/04/2026 19:06:07,20,Female,student,not applicable,6-8 hrs,6-7 hrs,1-2 days,often,Less than 4 hours,less than 30 mins,4,3,4,4,2,3,3,3-4 times/week,sometimes
14/04/2026 19:07:28,47,Female,Teacher ,mostly offline,less than 3 hrs,5-6 hrs,1-2 days,sometimes,More than 12 hours,less than 30 mins,4,5,4,5,4,2,4,rarely,"yes, almost always"
14/04/2026 19:11:22,19,Male,student,mostly offline,6-8 hrs,5-6 hrs,1-2 days,often,4–6 hours,none,4,3,4,2,4,3,2,1-2 times/week,sometimes
14/04/2026 19:24:49,19,Female,student,mostly offline,6-8 hrs,5-6 hrs,1-2 days,sometimes,7–9 hours,less than 30 mins,3,3,4,4,4,3,3,1-2 times/week,"yes, almost always"
14/04/2026 19:46:47,49,Male,corporate employee,mostly offline,more than 11 hrs,6-7 hrs,5+ days,often,7–9 hours,30-60 mins,2,2,3,2,2,4,2,rarely,sometimes
14/04/2026 21:55:46,44,Female,Teacher ,mostly offline,3-5 hrs,6-7 hrs,0,sometimes,7–9 hours,less than 30 mins,3,2,2,3,3,3,4,1-2 times/week,sometimes
14/04/2026 22:02:08,54,Female,Teacher ,mostly offline,3-5 hrs,7-8 hrs,0,sometimes,7–9 hours,less than 30 mins,4,3,3,3,3,3,3,rarely,sometimes
14/04/2026 22:22:22,48,Female,Teacher,mostly offline,3-5 hrs,5-6 hrs,1-2 days,sometimes,10–12 hours,less than 30 mins,4,4,4,4,3,3,4,1-2 times/week,"yes, almost always"
14/04/2026 22:23:56,51,Male,corporate employee,not applicable,less than 3 hrs,6-7 hrs,0,often,Less than 4 hours,less than 30 mins,2,1,1,1,2,4,2,3-4 times/week,sometimes
14/04/2026 22:24:58,52,Male,Marine Engineer ,not applicable,3-5 hrs,7-8 hrs,5+ days,sometimes,4–6 hours,none,2,1,4,2,4,2,2,5+ times,sometimes
14/04/2026 22:27:33,48,Female,corporate employee,hybrid,9-11 hrs,6-7 hrs,5+ days,often,10–12 hours,30-60 mins,4,3,3,2,3,3,2,1-2 times/week,sometimes
14/04/2026 22:27:49,48,Male,corporate employee,hybrid,9-11 hrs,6-7 hrs,3-4 days,sometimes,7–9 hours,more than 2 hours,3,2,2,2,3,4,4,3-4 times/week,sometimes
14/04/2026 22:27:54,47,Female,corporate employee,mostly offline,6-8 hrs,5-6 hrs,1-2 days,sometimes,7–9 hours,less than 30 mins,5,3,4,3,4,2,3,1-2 times/week,sometimes
14/04/2026 22:33:33,22,Male,student,not applicable,6-8 hrs,6-7 hrs,1-2 days,often,7–9 hours,more than 2 hours,4,2,4,4,5,2,4,1-2 times/week,sometimes
